PrimKey,LANAME,SCHOOL NAME,STREET,TOWN,POSTCODE,SCHOOLTYPE,GENDER
281,Hampshire,Hurstbourne Tarrant Church of England Primary School,Church Street,Andover,SP11 0AX,Voluntary controlled school,Mixed
282,Hampshire,Hyde Church of England Primary School,Hyde,Fordingbridge,SP6 2QL,Voluntary controlled school,Mixed
283,Hampshire,Kingsclere Church of England Primary School,Ash Grove,Newbury,RG20 5RE,Voluntary controlled school,Mixed
284,Hampshire,King's Somborne Church of England Primary School,Romsey Road,Stockbridge,SO20 6PN,Voluntary controlled school,Mixed
285,Hampshire,St John the Baptist Church of England Primary School,Abshot Road,Fareham,PO14 4NH,Voluntary controlled school,Mixed
286,Hampshire,Long Sutton Church of England Primary School,Hyde Road,Hook,RG29 1ST,Voluntary controlled school,Mixed
287,Hampshire,Marchwood Church of England Infant School,Twiggs Lane,Southampton,SO40 4ZE,Voluntary controlled school,Mixed
288,Hampshire,Medstead Church of England Primary School,Roedowns Road,Alton,GU34 5LG,Voluntary controlled school,Mixed
289,Hampshire,Meonstoke Church of England Infant School,Chapel Road,Meonstoke,SO32 3NJ,Voluntary controlled school,Mixed
290,Hampshire,Netley Marsh Church of England Infant School,Ringwood Road,Southampton,SO40 7GY,Voluntary controlled school,Mixed
291,Hampshire,Nursling Church of England Primary School,Nursling Street,Southampton,SO16 0XH,Voluntary controlled school,Mixed
292,Hampshire,Otterbourne Church of England Primary School,Main Road,Winchester,SO21 2EQ,Voluntary controlled school,Mixed
293,Hampshire,Overton Church of England Primary School,Court Drove,Basingstoke,RG25 3ES,Voluntary controlled school,Mixed
294,Hampshire,Oakley Church of England Junior School,Oakley Lane,Basingstoke,RG23 7JZ,Voluntary controlled school,Mixed
295,Hampshire,Pennington Church of England Junior School,Priestlands Road,Lymington,SO41 8HX,Voluntary controlled school,Mixed
296,Hampshire,Preston Candover Church of England Primary School,Preston Candover,Basingstoke,RG25 2EE,Voluntary controlled school,Mixed
297,Hampshire,Ringwood Church of England Infant School,School Lane,Ringwood,BH24 1LG,Voluntary controlled school,Mixed
298,Hampshire,Rowlands Castle St John's Church of England Controlled Primary School,Whichers Gate Road,Rowland's Castle,PO9 6BB,Voluntary controlled school,Mixed
299,Hampshire,Rownhams St John's Church of England Primary School,Bakers Drove,Southampton,SO16 8AD,Voluntary controlled school,Mixed
300,Hampshire,Ropley CofE Primary School,Church Street,Ropley,SO24 0DS,Voluntary controlled school,Mixed
301,Hampshire,Sarisbury Church of England Junior School,Allotment Road,Southampton,SO31 7AP,Voluntary controlled school,Mixed
302,Hampshire,St John the Baptist Church of England Primary School,Solomons Lane,Southampton,SO32 2LY,Voluntary controlled school,Mixed
303,Hampshire,Sherborne St John Church of England Primary School,Church Lane,Basingstoke,RG24 9HT,Voluntary controlled school,Mixed
304,Hampshire,South Baddesley Church of England Primary School,South Baddesley,Lymington,SO41 5RP,Voluntary controlled school,Mixed
305,Hampshire,Sparsholt Church of England Primary School,Woodman Lane,Winchester,SO21 2NR,Voluntary controlled school,Mixed
306,Hampshire,St Luke's Church of England Primary School,West Beams Road,Lymington,SO41 6AE,Voluntary controlled school,Mixed
307,Hampshire,Steep Church of England Voluntary Controlled Primary School,95 Church Road,Petersfield,GU32 2DE,Voluntary controlled school,Mixed
308,Hampshire,Twyford St Mary's Church of England Primary School,School Road,Winchester,SO21 1QQ,Voluntary controlled school,Mixed
309,Hampshire,Vernham Dean Gillum's Church of England Primary School,Vernham Dean,Andover,SP11 0JY,Voluntary controlled school,Mixed
310,Hampshire,West Meon Church of England Voluntary Controlled Primary School,Church Lane,Petersfield,GU32 1LF,Voluntary controlled school,Mixed
311,Hampshire,West Tytherley Church of England Primary School,West Tytherley,Salisbury,SP5 1JX,Voluntary controlled school,Mixed
312,Hampshire,Whitchurch Church of England Primary School,Daniel Road,Whitchurch,RG28 7LS,Voluntary controlled school,Mixed
313,Hampshire,Wickham Church of England Primary School,Buddens Road,Fareham,PO17 5HU,Voluntary controlled school,Mixed
314,Hampshire,All Saints Church of England Primary School,St Catherine's Road,Winchester,SO23 0PS,Voluntary controlled school,Mixed
315,Hampshire,Western Church of England Primary School,Browning Drive,Winchester,SO22 5AR,Voluntary controlled school,Mixed
316,Hampshire,"St Thomas' Church of England Infant School, Woolton Hill",Woolton Hill,Newbury,RG20 9XF,Voluntary controlled school,Mixed
317,Hampshire,St Bede Church of England Primary School,Gordon Road,Winchester,SO23 7DD,Voluntary controlled school,Mixed
318,Hampshire,Liphook Church of England Controlled Junior School,Avenue Close,Liphook,GU30 7QE,Voluntary controlled school,Mixed
319,Hampshire,Saint James' Church of England Primary School,Moorgreen Road,Southampton,SO30 3EG,Voluntary controlled school,Mixed
320,Hampshire,St Michael's Church of England Controlled Infant School,Park Road,Aldershot,GU11 3PU,Voluntary controlled school,Mixed
321,Hampshire,St Michael's Church of England Controlled Junior School,Church Lane East,Aldershot,GU11 3SS,Voluntary controlled school,Mixed
322,Hampshire,Leesland Church of England Controlled Junior School,Gordon Road,Gosport,PO12 3QF,Voluntary controlled school,Mixed
323,Hampshire,Leesland Church of England Controlled Infant School,Whitworth Road,Gosport,PO12 3NL,Voluntary controlled school,Mixed
324,Hampshire,Newtown Church of England Voluntary Controlled Primary School,Queen's Road,Gosport,PO12 1JD,Voluntary controlled school,Mixed
325,Hampshire,Rowledge Church of England Controlled Primary School,School Road,Farnham,GU10 4BW,Voluntary controlled school,Mixed
326,Hampshire,Bartley Church of England Junior School,Winsor Road,Southampton,SO40 2HR,Voluntary controlled school,Mixed
327,Hampshire,Whitewater Church of England Primary School,The Street,Hook,RG27 9BG,Voluntary controlled school,Mixed
328,Hampshire,Amport Church of England Primary School,The Green,Andover,SP11 8BA,Voluntary aided school,Mixed
329,Hampshire,Appleshaw St Peter's CofE Primary School,Ragged Appleshaw,Andover,SP11 9HR,Voluntary aided school,Mixed
330,Hampshire,St Mary's Church of England Voluntary Aided Junior School,Belle Vue Road,Basingstoke,RG24 7DE,Voluntary aided school,Mixed
331,Hampshire,St Mary's Bentworth Church of England Primary School,Church Street,Alton,GU34 5RE,Voluntary aided school,Mixed
332,Hampshire,St Matthew's Church of England Aided Primary School,Drift Road,Liss,GU33 6BN,Voluntary aided school,Mixed
333,Hampshire,William Gilpin Church of England Primary School,Pilley Hill,Lymington,SO41 5QG,Voluntary aided school,Mixed
334,Hampshire,Compton All Saints Church of England Primary School,Compton Street,Winchester,SO21 2AS,Voluntary aided school,Mixed
335,Hampshire,Dogmersfield Church of England Primary School,Chatter Alley,Hook,RG27 8SS,Voluntary aided school,Mixed
336,Hampshire,St Martin's East Woodhay Church of England (Aided) Primary School,East End,Newbury,RG20 0AF,Voluntary aided school,Mixed
337,Hampshire,Charles Kingsley's Church of England Primary School,Glaston Hill Road,Hook,RG27 0LX,Voluntary aided school,Mixed
338,Hampshire,All Saints Church of England Aided Junior School,Leawood Road,Fleet,GU51 5AJ,Voluntary aided school,Mixed
339,Hampshire,Hatherden Church of England Primary School,Hatherden,Andover,SP11 0HT,Voluntary aided school,Mixed
340,Hampshire,Andrews' Endowed Church of England Primary School,92 London Road,Alton,GU34 4EL,Voluntary aided school,Mixed
341,Hampshire,John Keble Church of England Primary School,Hursley Park Road,Winchester,SO21 2LA,Voluntary aided school,Mixed
342,Hampshire,St Alban's Church of England Aided Primary School,St Albans Road,Havant,PO9 2JX,Voluntary aided school,Mixed
343,Hampshire,Lockerley Church of England Endowed Primary School,Butts Green,Romsey,SO51 0JG,Voluntary aided school,Mixed
344,Hampshire,Longparish Church of England Primary School,Longparish,Andover,SP11 6PB,Voluntary aided school,Mixed
345,Hampshire,Lymington Church of England Infant School,Avenue Road,Lymington,SO41 9GP,Voluntary aided school,Mixed
346,Hampshire,St Michael and All Angels CofE Infant School,High Street,Lyndhurst,SO43 7BB,Voluntary aided school,Mixed
347,Hampshire,Romsey Abbey Church of England Primary School,Church Lane,Romsey,SO51 8EP,Voluntary aided school,Mixed
348,Hampshire,Silchester Church of England Primary School,School Lane,Reading,RG7 2NJ,Voluntary aided school,Mixed
349,Hampshire,Smannell and Enham Church of England (Aided) Primary School,Smannell,Andover,SP11 6JJ,Voluntary aided school,Mixed
350,Hampshire,Swanmore Church of England Aided Primary School,Church Road,Southampton,SO32 2PA,Voluntary aided school,Mixed
351,Hampshire,Upham Church of England Aided Primary School,Upham Street,Southampton,SO32 1JD,Voluntary aided school,Mixed
352,Hampshire,Clatford Church of England Primary School,Village Street,Andover,SP11 7RE,Voluntary aided school,Mixed
353,Hampshire,St Faith's Church of England Primary School,St Faith's Road,Winchester,SO23 9QB,Voluntary aided school,Mixed
354,Hampshire,"Kimpton, Thruxton and Fyfield Church of England Primary School",Thruxton Hill,Andover,SP11 8NT,Voluntary aided school,Mixed
355,Hampshire,St Jude's Catholic Primary School,Bishopsfield Road,Fareham,PO14 1ND,Voluntary aided school,Mixed
356,Hampshire,"St Thomas More's Catholic Primary School, Havant",Hooks Lane,Havant,PO9 3DR,Voluntary aided school,Mixed
357,Hampshire,Our Lady and St Joseph Catholic Primary School,83a Ramley Road,Lymington,SO41 8GY,Voluntary aided school,Mixed
358,Hampshire,St Anne's Catholic Primary School,Pinkerton Road,Basingstoke,RG22 6RE,Voluntary aided school,Mixed
359,Hampshire,St Bede's Catholic Primary School,Popley Way,Basingstoke,RG24 9DX,Voluntary aided school,Mixed
360,Hampshire,"St Peter's Catholic Primary School, Winchester",Olivers Battery Road North,Winchester,SO22 4JB,Voluntary aided school,Mixed
361,Hampshire,"St John the Baptist Catholic Primary School, Andover",Floral Way,Andover,SP10 3PF,Voluntary aided school,Mixed
362,Hampshire,"St Swithun Wells Catholic Primary School, Chandlers Ford",Hillcrest Avenue,Eastleigh,SO53 2JP,Voluntary aided school,Mixed
363,Hampshire,Western Downland Church of England Aided Primary School,Rockbourne,Fordingbridge,SP6 3NA,Voluntary aided school,Mixed
364,Hampshire,St Peter's Church of England Aided Junior School,Church Avenue,Farnborough,GU14 7AP,Voluntary aided school,Mixed
365,Hampshire,St Mark's Church of England Aided Primary School,Queen's Road,Farnborough,GU14 6DU,Voluntary aided school,Mixed
366,Hampshire,St Patrick's Catholic Primary School,Whitefriars,Farnborough,GU14 7BW,Voluntary aided school,Mixed
367,Hampshire,St Bernadette's Catholic Primary School,Tile Barn Close,Farnborough,GU14 8LS,Voluntary aided school,Mixed
368,Hampshire,Alverstoke Church of England Aided Junior School,The Avenue,Gosport,PO12 2JS,Voluntary aided school,Mixed
369,Hampshire,"St John's, Gosport Church of England Voluntary Aided Primary School",Grove Road,Gosport,PO12 4JH,Voluntary aided school,Mixed
370,Hampshire,St Mary's Catholic Primary School,Ann's Hill Road,Gosport,PO12 3NB,Voluntary aided school,Mixed
371,Hampshire,Selborne Church of England Primary School,School Lane,Alton,GU34 3JA,Voluntary aided school,Mixed
372,Hampshire,St John's Church of England Voluntary Aided Primary School,Kingsmill Road,Basingstoke,RG21 3JU,Voluntary aided school,Mixed
373,Hampshire,St Francis Church of England Primary School,Pilgrims Close,Eastleigh,SO53 4ST,Voluntary aided school,Mixed
374,Hampshire,Crookham Church of England Aided Infant School,Gallyhill Road,Fleet,GU52 6PU,Voluntary aided school,Mixed
375,Hampshire,John Hanson Community School,Floral Way,Andover,SP10 3PB,Community school,Mixed
376,Hampshire,The Westgate School,Cheriton Road,Winchester,SO22 5AZ,Community school,Mixed
377,Hampshire,The Toynbee School,Bodycoats Road,Eastleigh,SO53 2PL,Community school,Mixed
378,Hampshire,Court Moor School,Spring Woods,Fleet,GU52 7RY,Community school,Mixed
379,Hampshire,The Hamble School,Satchell Lane,Southampton,SO31 4NE,Community school,Mixed
380,Hampshire,Portchester Community School,White Hart Lane,Fareham,PO16 9BD,Community school,Mixed
381,Hampshire,Brookfield Community School,Brook Lane,Southampton,SO31 7DU,Community school,Mixed
382,Hampshire,The Hurst Community College,Brimpton Road,Tadley,RG26 5NL,Community school,Mixed
383,Hampshire,The Hayling College,Church Road,Hayling Island,PO11 0NU,Foundation school,Mixed
384,Hampshire,Swanmore College,New Road,Southampton,SO32 2RB,Community school,Mixed
385,Hampshire,Test Valley School,Roman Road,Stockbridge,SO20 6HA,Community school,Mixed
386,Hampshire,Aldworth School,Western Way,Basingstoke,RG22 6HA,Community school,Mixed
387,Hampshire,Crookhorn College,Stakes Hill Road,Waterlooville,PO7 5UD,Foundation school,Mixed
388,Hampshire,The Clere School,Earlstone Common,Newbury,RG20 9HP,Community school,Mixed
389,Hampshire,Harrow Way Community School,Harrow Way,Andover,SP10 3RH,Community school,Mixed
390,Hampshire,Cranbourne,Wessex Close,Basingstoke,RG21 3NP,Community school,Mixed
391,Hampshire,Yateley School,School Lane,Yateley,GU46 6NW,Community school,Mixed
392,Hampshire,Calthorpe Park School,Hitches Lane,Fleet,GU51 5JA,Community school,Mixed
393,Hampshire,Horndean Technology College,Barton Cross,Waterlooville,PO8 9PQ,Community school,Mixed
394,Hampshire,Henry Beaufort School,East Woodhay Road,Winchester,SO22 6JJ,Community school,Mixed
395,Hampshire,The Vyne Community School,Vyne Road,Basingstoke,RG21 5PB,Community school,Mixed
396,Hampshire,Brighton Hill Community School,Brighton Way,Basingstoke,RG22 4HS,Community school,Mixed
397,Hampshire,Frogmore Community College,Potley Hill Road,Yateley,GU46 6AG,Community school,Mixed
398,Hampshire,Crestwood Community School,Shakespeare Road,Eastleigh,SO50 4FZ,Community school,Mixed
399,Hampshire,Cove School,St John's Road,Farnborough,GU14 9RN,Foundation school,Mixed
400,Hampshire,Fernhill School,Neville Duke Road,Farnborough,GU14 9BY,Community school,Mixed
401,Hampshire,The Wavell School,Lynchford Road,Farnborough,GU14 6BH,Community school,Mixed
402,Hampshire,The Henry Cort Community College,Hillson Drive,Fareham,PO15 6PH,Community school,Mixed
403,Hampshire,Kings' School,Romsey Road,Winchester,SO22 5PN,Community school,Mixed
404,Hampshire,Park Community School,Middle Park Way,Havant,PO9 4BU,Community school,Mixed
405,Hampshire,Warblington School,Southleigh Road,Havant,PO9 2RR,Community school,Mixed
406,Hampshire,Bishop Challoner Catholic Secondary School,St Michael's Road,Basingstoke,RG22 6SR,Voluntary aided school,Mixed
407,Hampshire,Abbotswood Junior School,Ringwood Road,Southampton,SO40 8EB,Foundation school,Mixed
408,Hampshire,Calmore Junior School,Calmore Drive,Southampton,SO40 2ZZ,Foundation school,Mixed
409,Hampshire,Hordle CofE (VA) Primary School,Hordle Lane,Lymington,SO41 0FB,Voluntary aided school,Mixed
410,Hampshire,Ashley Junior School,Normans Way,New Milton,BH25 5FN,Foundation school,Mixed
411,Hampshire,"St Peter's Catholic Primary School, Waterlooville",Stakes Hill Road,Waterlooville,PO7 7BP,Voluntary aided school,Mixed
412,Hampshire,Mill Rythe Infant School,Havant Road,Hayling Island,PO11 0PA,Foundation school,Mixed
413,Hampshire,Crofton School,Marks Road,Fareham,PO14 2AT,Foundation school,Mixed
414,Hampshire,Testbourne Community School,Micheldever Road,Whitchurch,RG28 7JF,Foundation school,Mixed
415,Hampshire,Applemore College,Roman Road,Southampton,SO45 4RQ,Foundation school,Mixed
416,Hampshire,Purbrook Park School,Park Avenue,Waterlooville,PO7 5DS,Foundation school,Mixed
417,Hampshire,Osborne School,Athelstan Road,Winchester,SO23 7GA,Community special school,Mixed
418,Hampshire,Rookwood School,Weyhill Road,Andover,SP10 3AL,Other independent school,Mixed
419,Hampshire,Sherborne House School,39 Lakewood Road,Eastleigh,SO53 1EU,Other independent school,Mixed
420,Hampshire,Embley,Embley Park,Romsey,SO51 6ZE,Other independent school,Mixed
421,Hampshire,St Neot's School,St Neot's Road,Hook,RG27 0PN,Other independent school,Mixed
422,Hampshire,Farnborough Hill,Farnborough Road,Farnborough,GU14 8AT,Other independent school,Girls
423,Hampshire,St Nicholas' School,Redfields House,Fleet,GU52 0RF,Other independent school,Girls
424,Hampshire,Forres Sandle Manor School,Sandle Manor,Fordingbridge,SP6 1NS,Other independent school,Mixed
425,Hampshire,Cheam School,Headley,Thatcham,RG19 8LD,Other independent school,Mixed
426,Hampshire,Lord Wandsworth College,Long Sutton,Hook,RG29 1TB,Other independent school,Mixed
427,Hampshire,Durlston Court School,Becton Lane,New Milton,BH25 7AQ,Other independent school,Mixed
428,Hampshire,Ballard School,Fernhill Lane,New Milton,BH25 5SU,Other independent school,Mixed
429,Hampshire,Walhampton School,,Lymington,SO41 5ZG,Other independent school,Mixed
430,Hampshire,Horris Hill School,Newtown,Newbury,RG20 9DJ,Other independent school,Boys
431,Hampshire,Bedales School,Church Road,Petersfield,GU32 2DG,Other independent school,Mixed
432,Hampshire,"Stroud, the King Edward VI Preparatory School",Highwood House,Romsey,SO51 9ZH,Other independent school,Mixed
433,Hampshire,Winchester College,College Street,Winchester,SO23 9NA,Other independent school,Boys
434,Hampshire,St Swithun's School,Alresford Road,Winchester,SO21 1HA,Other independent school,Girls
435,Hampshire,The Pilgrims School,3 The Close,Winchester,SO23 9LT,Other independent school,Boys
436,Hampshire,Twyford School,High Street,Winchester,SO21 1NW,Other independent school,Mixed
437,Hampshire,Alton School,Anstey Lane,Alton,GU34 2NG,Other independent school,Mixed
438,Hampshire,Woodhill Preparatory School,Brook Lane,Botley,SO30 2ER,Other independent school,Mixed
439,Hampshire,Farleigh School,Red Rice,Andover,SP11 7PW,Other independent school,Mixed
440,Hampshire,Salesian College,119 Reading Road,Farnborough,GU14 6PA,Other independent school,Mixed
441,Hampshire,Grey House Preparatory School,Mount Pleasant Road,Hook,RG27 8PW,Other independent school,Mixed
442,Hampshire,Daneshill School,Stratfield Turgis,Hook,RG27 0AR,Other independent school,Mixed
443,Hampshire,West Hill Park School,West Hill Park,Fareham,PO14 4BS,Other independent school,Mixed
444,Hampshire,Princes Mead School,Worthy Park House,Winchester,SO21 1AN,Other independent school,Mixed
445,Hampshire,Yateley Manor School,51 Reading Road,Yateley,GU46 7UQ,Other independent school,Mixed
446,Hampshire,HawleyHurst School,Fernhill Road,Camberley,GU17 9HU,Other independent school,Mixed
447,Hampshire,Boundary Oak School,Wickham Road,Fareham,PO17 5BL,Other independent school,Mixed
448,Hampshire,Moyles Court School,Moyles Court,Ringwood,BH24 3NF,Other independent school,Mixed
449,Hampshire,Meoncross School,Burnt House Lane,Fareham,PO14 2EF,Other independent school,Mixed
450,Hampshire,Southlands School,Vicars Hill,Lymington,SO41 5QB,Other independent special school,Mixed
451,Hampshire,Hill House School,Rope Hill,Lymington,SO41 8NE,Other independent special school,Mixed
452,Hampshire,Brockwood Park School,Brockwood Park,Alresford,SO24 0LQ,Other independent school,Mixed
453,Hampshire,Ditcham Park School,Ditcham Park,Petersfield,GU31 5RN,Other independent school,Mixed
454,Hampshire,Churcher's College,Ramshill,Petersfield,GU31 4AS,Other independent school,Mixed
455,Hampshire,St Edward's School,Melchet Court,Romsey,SO51 6ZR,Other independent special school,Boys
456,Hampshire,Coxlease School,Clay Hill,Lyndhurst,SO43 7DE,Other independent special school,Mixed
457,Hampshire,Grateley House School,Pond Lane,Andover,SP11 8TA,Other independent special school,Mixed
458,Hampshire,The Loddon School,Wildmoor Lane,Hook,RG27 0JD,Other independent special school,Mixed
459,Hampshire,Thorngrove School,The Mount,Newbury,RG20 9PS,Other independent school,Mixed
460,Hampshire,St Michael's School,Harts Lane,Newbury,RG20 9JW,Other independent school,Mixed
461,Hampshire,The King's School,Lakesmere House,Eastleigh,SO50 7DB,Other independent school,Mixed
462,Hampshire,Riverside Community Special School,Scratchface Lane,Waterlooville,PO7 5QD,Community special school,Mixed
463,Hampshire,Lakeside School,Winchester Road,Eastleigh,SO53 2DW,Community special school,Boys
464,Hampshire,Norman Gate School,Vigo Road,Andover,SP10 1JZ,Community special school,Mixed
465,Hampshire,Maple Ridge School,Maple Crescent,Basingstoke,RG21 5SX,Community special school,Mixed
466,Hampshire,Heathfield Special School,Oldbury Way,Fareham,PO14 3BN,Community special school,Mixed
467,Hampshire,Icknield School,River Way,Andover,SP11 6LT,Community special school,Mixed
468,Hampshire,Rachel Madocks School,Eagle Avenue,Waterlooville,PO8 9XP,Community special school,Mixed
469,Hampshire,Limington House School,St Andrew's Road,Basingstoke,RG22 6PS,Community special school,Mixed
470,Hampshire,Baycroft School,Gosport Road,Fareham,PO14 2AE,Community special school,Mixed
471,Hampshire,St Francis Special School,Patchway Drive,Fareham,PO14 3BN,Community special school,Mixed
472,Hampshire,The Waterloo School,Warfield Avenue,Waterlooville,PO7 7JJ,Community special school,Mixed
473,Hampshire,Saxon Wood School,Barron Place,Basingstoke,RG24 9NH,Community special school,Mixed
474,Hampshire,Wolverdene Special School,22 Love Lane,Andover,SP10 2AF,Community special school,Mixed
475,Hampshire,Treloar School,Powell Drive,Alton,GU34 4GL,Non-maintained special school,Mixed
476,Hampshire,Oak Lodge School,Roman Road,Southampton,SO45 4RQ,Community special school,Mixed
477,Hampshire,Glenwood School,Washington Road,Emsworth,PO10 7NN,Community special school,Mixed
478,Hampshire,Samuel Cody Specialist Sports College,Ballantyne Road,Farnborough,GU14 8SN,Community special school,Mixed
479,Hampshire,The Mark Way School,Batchelors Barn Road,Andover,SP10 1HR,Community special school,Mixed
480,Hampshire,Shepherds Down Special School,Shepherds Lane,Winchester,SO21 2AJ,Community special school,Mixed
481,Hampshire,Wellstead Primary School,Wellstead Way,Southampton,SO30 2LE,Community school,Mixed
482,Hampshire,Kingscourt School,Catherington House,Waterlooville,PO8 9NJ,Other independent school,Mixed
483,Hampshire,Mill Hill Primary School,Mill Road,Waterlooville,PO7 7DB,Community school,Mixed
484,Hampshire,Basingstoke College of Technology,Worting Road,Basingstoke,RG21 8TN,Further education,Mixed
485,Hampshire,Farnborough College of Technology,Boundary Road,Farnborough,GU14 6SB,Further education,Mixed
486,Hampshire,Brockenhurst College,Lyndhurst Road,Brockenhurst,SO42 7ZE,Further education,Mixed
487,Hampshire,Alton College,Old Odiham Road,Alton,GU34 2LX,Further education,Mixed
488,Hampshire,Eastleigh College,Chestnut Avenue,Eastleigh,SO50 5FS,Further education,Mixed
489,Hampshire,Fareham College,Bishopsfield Road,Fareham,PO14 1NH,Further education,Mixed
490,Hampshire,Havant and South Downs College,College Road,Waterlooville,PO7 8AA,Further education,Mixed
491,Hampshire,Sparsholt College Hampshire,Westley Lane,Winchester,SO21 2NF,Further education,Mixed
492,Hampshire,Totton College (Part of Nacro),Water Lane,Southampton,SO40 3ZX,Further education,Mixed
493,Hampshire,Barton Peveril Sixth Form College,Chestnut Avenue,Eastleigh,SO50 5ZA,Further education,Mixed
494,Hampshire,Peter Symonds College,Owens Road,Winchester,SO22 6RX,Further education,Mixed
495,Hampshire,Hollywater School,Mill Chase Road,Bordon,GU35 0HA,Community special school,Mixed
496,Hampshire,Holbrook Primary School,Wych Lane,Gosport,PO13 0JN,Community school,Mixed
497,Hampshire,Bedenham Primary School,Bridgemary Avenue,Gosport,PO13 0XT,Community school,Mixed
498,Hampshire,Whiteley Primary School,Gull Coppice,Fareham,PO15 7LA,Community school,Mixed
499,Hampshire,St Mark's Church of England Primary School,Danebury Road,Basingstoke,RG22 4US,Voluntary aided school,Mixed
500,Hampshire,Burnham Copse Primary School,New Church Road,Tadley,RG26 4HN,Community school,Mixed
501,Hampshire,Tadley Court School,Tadley Common Road,Basingstoke,RG26 3TB,Other independent special school,Mixed
502,Hampshire,Henry Tyndale School,Ship Lane,Farnborough,GU14 8BX,Community special school,Mixed
503,Hampshire,Knightwood Primary School,Bell Flower Way,Eastleigh,SO53 4HW,Community school,Mixed
504,Hampshire,Great Binfields Primary School,Binfields Farm Lane,Basingstoke,RG24 8AJ,Community school,Mixed
505,Hampshire,Elvetham Heath Primary School,The Key,Fleet,GU51 1DP,Community school,Mixed
506,Hampshire,Cherrywood Community Primary School,Mayfield Road,Farnborough,GU14 8LH,Community school,Mixed
507,Hampshire,Micheldever CofE Primary School,Church Street,Winchester,SO21 3DB,Voluntary controlled school,Mixed
508,Hampshire,Sharps Copse Primary and Nursery School,Prospect Lane,Havant,PO9 5PE,Community school,Mixed
509,Hampshire,Prospect School,Freeley Road,Havant,PO9 4AQ,Community special school,Boys
510,Hampshire,Grantham Farm Montessori School,Inhurst Lane,Tadley,RG26 5JS,Other independent school,Mixed
511,Hampshire,Chiltern Primary School,Chiltern Way,Basingstoke,RG22 5BB,Community school,Mixed
512,Hampshire,Cadland Primary School,Whitefield Road,Holbury,SO45 2HW,Community school,Mixed
513,Hampshire,Sherfield School,Sherfield-on-Loddon,Hook,RG27 0HU,Other independent school,Mixed
514,Hampshire,Romsey Primary School,Mercer Way,Romsey,SO51 7PH,Community school,Mixed
515,Hampshire,Hillcrest Jubilee School,84-86 Jubilee Road,Waterlooville,PO7 7RE,Other independent special school,Mixed
516,Hampshire,Fair Ways School,New Road,Southampton,SO31 7HE,Other independent school,Mixed
517,Hampshire,Woodcroft Primary,37 Woodcroft Lane,Waterlooville,PO8 9QD,Community school,Mixed
518,Hampshire,Forest Park School,Ringwood Road,Southampton,SO40 8DZ,Community special school,Mixed
519,Hampshire,Cranford Park Primary,Cranford Park Drive,Yateley,GU46 6LB,Voluntary controlled school,Mixed
520,Hampshire,Endeavour Primary School,East Anton Farm Road,Andover,SP11 6RD,Community school,Mixed
521,Hampshire,Barncroft Primary School,Park Lane,Havant,PO9 3HN,Community school,Mixed
522,Hampshire,New Forest Small School,1 Southampton Road,Lyndhurst,SO43 7BU,Other independent school,Mixed
523,Hampshire,Havant Academy,Wakefords Way,Havant,PO9 5JD,Academy sponsor led,Mixed
524,Hampshire,Pilgrims' Cross CofE Aided Primary School,Picket Twenty Way,Andover,SP11 6TY,Voluntary aided school,Mixed
525,Hampshire,The Priory Primary School,Pamber End,Tadley,RG26 5QD,Academy converter,Mixed
526,Hampshire,The Mountbatten School,Whitenap Lane,Romsey,SO51 5SY,Academy converter,Mixed
527,Hampshire,Bohunt School,Longmoor Road,Liphook,GU30 7NY,Academy converter,Mixed
528,Hampshire,The Arnewood School,Gore Road,New Milton,BH25 6RS,Academy converter,Mixed
529,Hampshire,Wildern School,Wildern Lane,Southampton,SO30 4EJ,Academy converter,Mixed
530,Hampshire,Ringwood School Academy,Parsonage Barn Lane,Ringwood,BH24 1SE,Academy converter,Mixed
531,Hampshire,Thornden School,Winchester Road,Eastleigh,SO53 2DW,Academy converter,Mixed
532,Hampshire,The Burgate School and Sixth Form,Salisbury Road,Fordingbridge,SP6 1EZ,Academy converter,Mixed
533,Hampshire,The Petersfield School,Cranford Road,Petersfield,GU32 3LU,Academy converter,Mixed
534,Hampshire,Noadswood School,North Road,Southampton,SO45 4ZF,Academy converter,Mixed
535,Hampshire,Perins School,Pound Hill,Alresford,SO24 9BS,Academy converter,Mixed
536,Hampshire,Priestlands School,North Street,Lymington,SO41 8FZ,Academy converter,Mixed
537,Hampshire,Hounsdown School,Jacobs Gutter Lane,Southampton,SO40 9FT,Academy converter,Mixed
538,Hampshire,The Romsey School,Greatbridge Road,Romsey,SO51 8ZB,Academy converter,Mixed
539,Hampshire,New Forest School,Fawley Business Centre,Fawley,SO45 1FJ,Other independent special school,Mixed
540,Hampshire,Testwood School,Testwood Lane,Southampton,SO40 3ZW,Academy converter,Mixed
541,Hampshire,Oaklands Catholic School,Stakes Hill Road,Waterlooville,PO7 7BW,Academy converter,Mixed
542,Hampshire,St Anthony's Catholic Primary School,Primate Road,Fareham,PO14 4RP,Academy converter,Mixed
543,Hampshire,St Joseph's Catholic Primary School,Bridge Road,Aldershot,GU11 3DD,Academy converter,Mixed
544,Hampshire,Amery Hill School,Amery Hill,Alton,GU34 2BZ,Academy converter,Mixed
545,Hampshire,Cams Hill School,Shearwater Avenue,Fareham,PO16 8AH,Academy converter,Mixed
546,Hampshire,Dove House School,Sutton Road,Basingstoke,RG21 5SU,Academy special converter,Mixed
